"filename", "language", "C#", "JSON", "XML", "Properties", "comment", "blank", "total"
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\UnitOfWork\Collections\IEnumerablePagedListExtensions.cs", "C#", 11, 0, 0, 0, 24, 4, 39
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\UnitOfWork\Collections\IPagedList.cs", "C#", 15, 0, 0, 0, 32, 4, 51
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\UnitOfWork\Collections\IQueryablePageListExtensions.cs", "C#", 32, 0, 0, 0, 12, 5, 49
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\UnitOfWork\Collections\PagedList.cs", "C#", 95, 0, 0, 0, 113, 25, 233
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\UnitOfWork\IRepository.cs", "C#", 122, 0, 0, 0, 326, 47, 495
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\UnitOfWork\IRepositoryFactory.cs", "C#", 7, 0, 0, 0, 19, 3, 29
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\UnitOfWork\IUnitOfWork.cs", "C#", 14, 0, 0, 0, 49, 8, 71
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\UnitOfWork\IUnitOfWorkOfT.cs", "C#", 9, 0, 0, 0, 14, 4, 27
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\UnitOfWork\Repository.cs", "C#", 606, 0, 0, 0, 317, 114, 1037
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\UnitOfWork\UnitOfWork.cs", "C#", 119, 0, 0, 0, 66, 27, 212
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataBase\UnitOfWork\UnitOfWorkServiceCollectionExtensions.cs", "C#", 52, 0, 0, 0, 56, 12, 120
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\DataToProtoProfile.cs", "C#", 28, 0, 0, 0, 0, 4, 32
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250123151515_init.Designer.cs", "C#", 117, 0, 0, 0, 2, 37, 156
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250123151515_init.cs", "C#", 110, 0, 0, 0, 3, 12, 125
